,Country,Region-Geo,Continent,Region,Year,Year_cat,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission,RankTotalGDPUS,RankAgriculturalLand,RankChildrenPerWoman,RankDemocracyScore,RankExports,RankImports,RankIncomePerPerson,RankLifeExpectancy,RankPopulationdensity,RankYearlyCO2emission,TotalRankValue,AverageRanking
0,Afghanistan,Asia - Southern,Asia,South Asia,2000,[2000],57.8829554,20.69521,20.6185,0.0,7.733,0.034170007,-7.0,,,27.60000038,13500.0,,,,,,1991.729633,,,93.5,,,54.863,,,,16.413,,,,,,2.917139198,22856302.0,35.051,,,,,,,182.0,,,,,20.583000000000002,4.08956284,781.0,0.0,49.0,186.0,141.0,0.0,0.0,176.0,157.0,143.0,46.0,898.0,149.66666666666666
1,Aland Islands,Europe - Northern,Europe,Europe & Central Asia,2000,[2000],,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,25776.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
2,Albania,Europe - Southern,Europe,Europe & Central Asia,2000,[2000],41.75182482,25.55835,25.12797,0.9698045740000001,2.383,0.983553048,5.0,0.579513818,19.13553544,65.69999695,7690.0,1200.1374369999999,27.16051203,0.6973748790000001,,37.48980373,12585.6311,,,25.3,4.321511128,0.11409734699999999,74.2,,,,26.93,1.389,,,,,-0.028285086,3071856.0,106.855,,96.535,,709.1422995,,,16.4,3686649387.0,75.23662259999999,-18.35426829,,41.74100000000001,1.336973227,3021.333333,117.0,89.0,76.0,87.0,130.0,73.0,91.0,52.0,77.0,78.0,870.0,87.0
3,Algeria,Africa - Northern,Africa,Middle East & North Africa,2000,[2000],16.80326148,23.77659,25.49389,0.281654835,2.5140000000000002,2.8795276789999997,-3.0,0.884947275,41.17535301,37.20000076,15790.0,1794.4052329999997,45.911114500000004,4.166833432,,21.35423872,15296.56069,,,29.8,24.59809885,0.491705679,68.96300000000001,,,,21.787,,,,,0.278314277,1.4342870159999999,30533827.0,12.82,,,,372.68334289999996,,,10.0,54790058957.0,62.607389399999995,19.82111429,,60.787,3.0228327239999997,87923.0,45.0,151.0,85.0,119.0,67.0,21.0,82.0,109.0,174.0,154.0,1007.0,100.7
4,American Samoa,Oceania,Oceania,East Asia & Pacific,2000,[2000],25.0,,,3.456832972,,,,,,,180.0,,,,,,22951.34734,,,,,,,,,,,,,,,,1.67644706,57625.0,289.573,,,,,,,58.7,,,,,88.766,2.46498372,,0.0,137.0,0.0,0.0,0.0,0.0,60.0,0.0,30.0,0.0,227.0,75.66666666666667
5,Andorra,Europe - Southern,Europe,Europe & Central Asia,2000,[2000],38.29787234,26.83179,26.10622,36.42510134,,8.112345411,,,,,160.0,17539.442,862.3916116,10.92196833,,,90797.82316,,,4.1,4.513979824,10.53883561,,,,,,2.549,,,,,1.009190723,64634.0,138.107,,,,,,,,1133644295.0,1330.411302,,,92.395,0.735524727,524.3333333,147.0,101.0,0.0,0.0,0.0,0.0,7.0,0.0,58.0,36.0,349.0,69.8
6,Angola,Africa - Central,Africa,Sub-Saharan Africa,2000,[2000],45.96133793,21.3748,21.91293,0.18530309399999997,6.843999999999999,0.68507907,-3.0,0.53847495,89.62620582,77.90000153,597280.0,298.4058429,12.51447308,,,62.82775771,7339.937618999999,0.6,44.74,120.9,418.2329539,0.105045562,45.233999999999995,,,,16.374000000000002,,,,,,3.023765511,13926373.0,11.171,70.21,,,76.14262327,,,207.0,9129180361.0,15.79229531,26.79654112,,48.986999999999995,5.085830321,9540.666667,85.0,75.0,179.0,119.0,10.0,135.0,120.0,182.0,180.0,103.0,1188.0,118.8
7,Anguilla,America - Central,Central and South America,America,2000,[2000],,,,,,2.981568486,,,,,,,,,,,46655.17693,,,,,,,,,,,,,,,,,11068.0,121.626,,,,,,,72.9,,,,,,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,66.0,4.0,101.0,33.666666666666664
8,Antigua and Barbuda,America - Central,Central and South America,America,2000,[2000],29.54545455,24.99158,26.612309999999997,28.33007108,2.316,4.438377803,,,62.89798125,,100.0,10143.36808,281.3929619,0.092391158,,62.11175257,38216.233889999996,,,14.3,21.31862218,6.482225737,73.544,,,,,,,,,,2.175286402,77656.0,175.692,,,,,,,61.9,802526700.6,407.7813262,-3.938358521,,32.126999999999995,1.040036021,344.6666667,155.0,120.0,72.0,0.0,29.0,134.0,44.0,59.0,49.0,26.0,688.0,76.44444444444444
9,Argentina,America - South,Central and South America,America,2000,[2000],47.05319199,26.88103,26.478509999999996,17.56789993,2.477,3.819693795,8.0,1.65049336,10.88546513,60.20000076,318610.0,7695.594073,381.8773152,9.351856306,,11.51927098,31714.09087,,,18.0,1.037277263,7.038683086,73.822,,,,28.142,,5.967418,10.32143,1.767227,0.548865715,1.0607715690000001,36930709.0,13.283,10.53,100.961,,570.1638158,8.674902000000001,,64.7,284000000000.0,708.7055924,-0.6338058520000001,9.663261,90.125,1.3877410380000001,141064.0,15.0,72.0,83.0,56.0,154.0,3.0,48.0,56.0,172.0,163.0,822.0,82.2
